,0
0,346.0
1,260.0
2,218.0
3,183.0
4,328.0
5,151.0
6,326.0
7,325.0
8,287.0
9,207.0
10,241.0
11,312.0
12,379.0
13,65.0
14,105.0
15,253.0
16,356.0
17,202.0
18,202.0
19,498.0
20,306.0
21,259.0
22,262.0
23,269.0
24,418.0
25,319.0
26,86.0
27,285.0
28,342.0
29,221.0
30,325.0
31,395.0
32,361.0
33,364.0
34,310.0
35,357.0
36,279.0
37,192.0
38,223.0
39,204.0
40,202.0
41,184.0
42,224.0
43,106.0
44,150.0
45,297.0
46,290.0
47,305.0
48,216.0
49,501.0
50,409.0
51,302.0
52,223.0
53,305.0
54,363.0
55,292.0
56,336.0
57,322.0
58,412.0
59,201.0
60,300.0
61,441.0
62,270.0
63,311.0
64,229.0
65,382.0
66,115.0
67,54.0
68,412.0
69,379.0
70,413.0
71,312.0
72,366.0
73,225.0
74,423.0
75,80.0
76,388.0
77,201.0
78,322.0
79,340.0
80,318.0
81,192.0
82,259.0
83,303.0
84,387.0
85,300.0
86,87.0
87,379.0
88,283.0
89,216.0
90,237.0
91,238.0
92,208.0
93,381.0
94,247.0
95,496.0
96,257.0
97,396.0
98,397.0
99,400.0
100,397.0
101,434.0
102,398.0
103,321.0
104,327.0
105,339.0
106,235.0
107,180.0
108,192.0
109,129.0
110,168.0
111,441.0
112,433.0
113,361.0
114,377.0
115,254.0
116,409.0
117,388.0
118,330.0
119,134.0
120,358.0
121,264.0
122,261.0
123,399.0
124,355.0
125,325.0
126,277.0
127,411.0
128,366.0
129,249.0
130,322.0
131,355.0
132,373.0
133,140.0
134,396.0
135,369.0
136,280.0
137,181.0
138,280.0
139,426.0
140,351.0
141,441.0
142,132.0
143,18.0
144,259.0
145,264.0
146,183.0
147,316.0
148,423.0
149,279.0
150,331.0
151,105.0
152,210.0
153,169.0
154,253.0
155,163.0
156,237.0
157,448.0
158,337.0
159,313.0
160,250.0
161,425.0
162,267.0
163,117.0
164,198.0
165,279.0
166,354.0
167,120.0
168,425.0
169,333.0
170,385.0
171,292.0
172,390.0
173,47.0
174,359.0
175,519.0
176,62.0
177,351.0
178,407.0
179,385.0
180,309.0
181,330.0
182,219.0
183,281.0
184,291.0
185,312.0
186,150.0
187,396.0
188,193.0
189,290.0
190,288.0
191,496.0
192,294.0
193,120.0
194,435.0
195,297.0
196,117.0
197,436.0
198,348.0
199,368.0
